date time sender month day length count word ily miss baby sex sorry insult tired drag n_pos n_neg anger anticipation disgust fear joy sadness surprise trust negative positive
2018-09-10 18 Maik Sep Mon 36 13642 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 1 0 2
2018-09-10 18 Andrew Sep Mon 55 19937 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 18 Andrew Sep Mon 12 19937 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
2018-09-10 18 Maik Sep Mon 68 13642 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1
2018-09-10 18 Andrew Sep Mon 23 19937 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0
2018-09-10 18 Maik Sep Mon 27 13642 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 2
2018-09-11 0 Maik Sep Tue 31 13642 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-11 0 Andrew Sep Tue 7 19937 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 1 2 0 2
2018-09-11 0 Andrew Sep Tue 24 19937 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-11 0 Andrew Sep Tue 51 19937 10 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1
2018-09-11 0 Maik Sep Tue 35 13642 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
2018-09-11 0 Maik Sep Tue 28 13642 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-11 0 Andrew Sep Tue 20 19937 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-11 0 Maik Sep Tue 21 13642 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-11 0 Andrew Sep Tue 75 19937 16 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
